Test Case,Rows,Columns,Xmin,Xmax,Ymin,Ymax,Search Density,Time1,Time2,Time3,Time4,Time5,AvgTime
1,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,100000",15613,16610,16604,16734,16702,16452.6
2,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,150000",17845,17353,17682,18680,16792,17670.4
3,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,200000",16776,17108,17837,18351,19669,17948.2
4,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,250000",17595,17083,18265,20124,20370,18687.4
5,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,300000",20440,20131,20263,21318,20888,20608.0
6,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,350000",18135,18207,18834,18236,18005,18283.4
7,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,400000",18947,20743,18924,19065,18393,19214.4
8,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,450000",19126,19052,20283,19802,18405,19333.6
9,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,500000",19710,22138,20880,19006,20245,20395.8
10,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,550000",18739,18810,20551,20128,18630,19371.6
11,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,600000",19657,22504,22590,20615,23199,21713.0
12,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,650000",20308,22820,20481,20340,20125,20814.8
13,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,700000",22737,22471,21017,20737,21140,21620.4
14,10000,10000,"-100,000000","100,000000","-100,000000","100,000000","0,750000",21248,25392,21579,22067,20535,22164.2
